relation_id,subject_ku_id,object_ku_id,predicate,time,role,scope,origin,status,source_id,source_span,source_file
rel-0014,units/persons/andrea-pozzo,units/institutions/jesuits,member_of,,,,external,formal,,本卡 S6；入会与誓愿段,https://www.treccani.it/enciclopedia/andrea-pozzo_(Dizionario-Biografico)/
rel-0015,units/persons/andrea-procaccini,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S5；生平段,https://en.wikipedia.org/w/index.php?oldid=1366087864
rel-0016,units/persons/andrea-procaccini,units/persons/carlo-maratta,trained_by,约1690,工作室学生,素描与临摹训练,external,formal,,本卡 S7；早期训练段,https://www.treccani.it/enciclopedia/andrea-procaccini_(Dizionario-Biografico)/
rel-0017,units/persons/andrea-sacchi,units/persons/antonio-barberini,employed_by,1637–1640,家户受俸画家,1640年升入最高受俸者等级,book,formal,haskell-1980-rev-ed,lines 195–198; print pp. 7,02-sources/02-Markdown/01_CHP-1.md
rel-0018,units/persons/andrea-sacchi,units/institutions/barberini-household,member_of,,,,book,formal,haskell-1980-rev-ed,lines 195–198; print pp. 7,02-sources/02-Markdown/01_CHP-1.md
rel-0019,units/persons/angelica-galante,units/persons/pietro-bernini,spouse_of,1594年时已为夫妻；结婚年份未载,妻子,Pietro Bernini与Angelica Galante的婚姻,external,formal,,line 33: Pietro于1594年与妻子Angelica返回佛罗伦萨,https://www.treccani.it/enciclopedia/pietro-bernini_(Dizionario-Biografico)/
rel-0020,units/persons/angelica-galante,units/persons/gian-lorenzo-bernini,parent_of,,母亲,Gian Lorenzo Bernini的母亲,external,formal,,line 29: ‘di Angelica Galante’,https://www.treccani.it/enciclopedia/gian-lorenzo-bernini_(Dizionario-Biografico)/
rel-0021,units/persons/angelica-galante,units/persons/luigi-bernini,parent_of,,母亲,Luigi Bernini的母亲,external,formal,,line 28: ‘Figlio di Pietro e di Angelica Galante’,https://www.treccani.it/enciclopedia/luigi-bernini_(Dizionario-Biografico)/
rel-0022,units/persons/ann-sutherland-harris,units/institutions/courtauld-institute-of-art,educated_at,,博士学位教育,就读机构；不混为受雇、组织院士或个人师承,external,formal,,完整教师页面：研究、教育、项目与出版清单；未下载CV,https://www.haa.pitt.edu/people/ann-sutherland-harris
rel-0023,units/persons/ann-sutherland-harris,units/institutions/university-of-pittsburgh,employed_by,,艺术史教授,校方教师页面任职身份；未补造任期,external,formal,,完整教师页面：研究、教育、项目与出版清单；未下载CV,https://www.haa.pitt.edu/people/ann-sutherland-harris
rel-0024,units/persons/anthony-blunt,units/institutions/courtauld-institute-of-art,employed_by,1947年就任,院长／Director,院长任命；本来源未采用离任年,external,formal,,姓名、两段人物传记、相关人物与肖像列表；未逐件读肖像记录,https://www.npg.org.uk/collections/search/person/mp12247/anthony-frederick-blunt
rel-0025,units/persons/anthony-clark,units/institutions/metropolitan-museum-of-art,employed_by,1973–1975,欧洲绘画策展人,欧洲绘画部门任职,external,formal,,PDF p.4 Biographical Note,https://www.getty.edu/research/collections/static/pdf/2023.M.59.pdf
rel-0026,units/persons/artemisia-gentileschi,units/persons/antonio-ruffo,corresponded_with,1649–1650,通信双方,密集通信涉及付款及拟议委托；不把全部往来合成单一成交,external,formal,,本卡 S6；1649–1650 Ruffo通信段,https://www.treccani.it/enciclopedia/artemisia-lomi_(Dizionario-Biografico)/
rel-0027,units/persons/benedetto-luti,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S7；1694年入会段,https://www.treccani.it/enciclopedia/benedetto-luti_(Dizionario-Biografico)/
rel-0028,units/persons/bernardin-baldoino,units/persons/gio-gasparo-baldoini,child_of,1625,儿子,Thevenon明确称Bernardin为Giovanni-Gaspare Baldoino之子；姓名异文不改变所指,external,formal,,printed p.32; PDF p.7; lines 296–297,https://cinumedpub.mmsh.fr/Provence-historique/Pdf/PH-2016-65-259_3.pdf
rel-0029,units/persons/bernardino-castelli,units/places/padua,located_at,1775,迁居,传记明确地点事件,external,formal,,1775年转往Padova段,https://www.treccani.it/enciclopedia/bernardino-castelli_(Dizionario-Biografico)/
rel-0030,units/persons/bernardino-castelli,units/places/venice,located_at,1810-02-24,去世,传记明确地点事件,external,formal,,Morì a Venezia段,https://www.treccani.it/enciclopedia/bernardino-castelli_(Dizionario-Biografico)/
rel-0031,units/persons/bruce-boucher,units/institutions/courtauld-institute-of-art,educated_at,,硕士与博士学位教育,就读机构；不混为受雇、组织院士或个人师承,external,formal,,完整大学任命新闻正文；可见页未显示明确发布日期,https://www.newswise.com/articles/architectural-historian-and-museum-curator-bruce-ambler-boucher-appointed-director-of-the-university-of-virginia-art-museum
rel-0032,units/persons/bruce-boucher,units/institutions/art-institute-of-chicago,employed_by,2002年起,欧洲雕塑策展人,大学任命新闻回顾既有职务，不推定离任年,external,formal,,完整大学任命新闻正文；可见页未显示明确发布日期,https://www.newswise.com/articles/architectural-historian-and-museum-curator-bruce-ambler-boucher-appointed-director-of-the-university-of-virginia-art-museum
rel-0033,units/persons/bruce-boucher,units/institutions/sir-john-soanes-museum,employed_by,2016-05-16就任；2017-03-31仍在任,馆长,年度报告时点，不将期末当离任,external,formal,,PDF第6、8、11、43页；印刷页4、6、9、41；人员、地址、机构历史与任命段,https://www.soane.org/sites/default/files/2023-06/soane-museum-annual-report-accounts-2017.pdf
rel-0034,units/persons/camillo-pamfili,units/persons/pier-francesco-mola,patron_of,,雇主、装饰委托人与费用承担方,Valmontone装饰及行动许可语境,book,formal,haskell-1980-rev-ed,"lines 231–233,308–319,505–519; print pp. 7,9,13",02-sources/02-Markdown/01_CHP-1.md
rel-0035,units/persons/camillo-pamfili,units/persons/guglielmo-cortese,patron_of,,Valmontone雇主／保护人,离开数日须获特别许可的服务关系,book,formal,haskell-1980-rev-ed,lines 231–233; print pp. 7,02-sources/02-Markdown/01_CHP-1.md
rel-0036,units/persons/caravaggio,units/works/caravaggio-conversion-saint-paul,creator_of,1600起,合同指定画家,连接委托对象；不同实物版本仍分开,book,formal,haskell-1980-rev-ed,lines 397–401; print pp. 11,02-sources/02-Markdown/01_CHP-1.md
rel-0037,units/persons/caravaggio,units/works/caravaggio-martyrdom-saint-peter,creator_of,1600起,合同指定画家,连接委托对象；现存版本与原约底材仍分开,book,formal,haskell-1980-rev-ed,lines 397–401; print pp. 11,02-sources/02-Markdown/01_CHP-1.md
rel-0038,units/persons/caravaggio,units/persons/simone-peterzano,trained_by,1584–约1588,学徒,米兰工作室训练,external,formal,,Biography / Early life段,https://en.wikipedia.org/wiki/Caravaggio
rel-0039,units/persons/caravaggio,units/persons/giuseppe-cesari,employed_by,1590年代早期,工作室画家／助手,花果及次要部分；不等于长期师承,external,formal,,Beginnings in Rome段,https://en.wikipedia.org/wiki/Caravaggio
rel-0040,units/persons/caravaggio,units/persons/prospero-orsi,friend_of,1590年代起,朋友与市场引介者,不由此推定共同创作,external,formal,,Beginnings in Rome与相关生平段,https://en.wikipedia.org/wiki/Caravaggio
rel-0041,units/persons/caravaggio,units/persons/onorio-longhi,friend_of,,朋友,不由共同涉案推定艺术合作,external,formal,,Rome生平与诽谤案段,https://en.wikipedia.org/wiki/Caravaggio
rel-0042,units/persons/caravaggio,units/persons/mario-minnitti,friend_of,1590年代,朋友,模特身份逐件作品另判,external,formal,,Beginnings in Rome与Models段,https://en.wikipedia.org/wiki/Caravaggio
rel-0043,units/persons/caravaggio,units/persons/francesco-maria-del-monte,patronized_by,约1595起,主要赞助人／保护人,具体作品委托另逐件登记,external,formal,,Beginnings in Rome与Patrons字段,https://en.wikipedia.org/wiki/Caravaggio
rel-0044,units/persons/caravaggio,units/persons/alof-de-wignacourt,patronized_by,1607–1608,保护人,骑士身份与肖像作品分别建模,external,formal,,Malta段与Patrons字段,https://en.wikipedia.org/wiki/Caravaggio
rel-0045,units/persons/caravaggio,units/families/colonna-family,patronized_by,1606后,保护网络,逃亡期保护；非具体作品委托,external,formal,,Early life及Naples exile相关段,https://en.wikipedia.org/wiki/Caravaggio
rel-0046,units/persons/caravaggio,units/institutions/knights-hospitaller,member_of,1608年内,骑士，后被逐,非终身未撤销头衔,external,formal,,Malta段,https://en.wikipedia.org/wiki/Caravaggio
rel-0047,units/persons/cardinal-borghese-ch1,units/persons/domenichino,disputed_with,,争执一方,第一章所述执行／付款争执；人物据同书索引确认为Scipione Borghese,book,formal,haskell-1980-rev-ed,lines 79–83; print pp. 4,02-sources/02-Markdown/01_CHP-1.md
rel-0048,units/persons/cardinal-borghese-ch1,units/families/borghese-family,member_of,,,,external,formal,,博尔盖塞家族卡 S7；Scipione 段,https://galleriaborghese.cultura.gov.it/il-museo/la-villa/
rel-0049,units/persons/carlo-lodoli,units/places/venice,located_at,1690出生；1720返回,出生／返回,明确生平地点事件，非全生涯连续住址,external,formal,,起首出生段及1720返威尼斯段,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/
rel-0050,units/persons/carlo-lodoli,units/places/padua,located_at,1761-10-27,去世,明确生平地点事件，非全生涯连续住址,external,formal,,末段Morì a Padova,https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/
rel-0051,units/persons/carlo-maratta,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S7；1662年入会及后续任职段,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/
rel-0052,units/persons/carlo-maratta,units/persons/andrea-sacchi,trained_by,约1636／1637起,工作室学生,进入Sacchi工作室的训练阶段,external,formal,,本卡 S7；早期训练与合作段,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/
rel-0053,units/persons/carlo-maratta,units/persons/andrea-sacchi,collaborated_with,,主要合作者,训练期之后的工作合作；具体项目仍逐作判断,external,formal,,本卡 S7；早期训练与合作段,https://www.treccani.it/enciclopedia/carlo-maratti_(Dizionario-Biografico)/
rel-0054,units/persons/caterina-cucchiaroni,units/persons/giovanni-telli,spouse_of,,前配偶,此前婚姻,external,formal,,lines 43–44,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/
rel-0055,units/persons/caterina-cucchiaroni,units/persons/battista-telli,parent_of,,儿子,Caterina与前夫所生,external,formal,,lines 43–44,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/
rel-0056,units/persons/caterina-cucchiaroni,units/persons/maddalena-telli,parent_of,,女儿,Caterina与前夫所生,external,formal,,lines 43–44,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/
rel-0057,units/persons/caterina-cucchiaroni,units/persons/ippolito-leoni,parent_of,,儿子,Caterina与前夫所生,external,formal,,lines 43–44,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/
rel-0058,units/persons/caterina-cucchiaroni,units/persons/eufrasia-telli,parent_of,,女儿,Caterina与前夫所生,external,formal,,lines 43–44,https://www.treccani.it/enciclopedia/ottavio-leoni_(Dizionario-Biografico)/
rel-0059,units/persons/charles-francois-poerson,units/institutions/french-academy-in-rome,member_of,1704起；1708在任,院长,1704获任院长，1708原书来信佐证仍在任；不确定1724／1725终期,external,formal,,Biographie任职段：1704年获任院长,https://villamedici.it/directeur/charles-francois-poerson/
rel-0060,units/persons/charles-francois-poerson,units/persons/louis-antoine-de-pardaillan-de-gondrin,corresponded_with,1708-10-20,写信人→收信人,此信支持一次通信，不自动证明朋友或赞助关系,external,formal,,第1317号信题头、日期及署名；印刷pp.239、241,https://archive.org/download/correspondancede03acad/correspondancede03acad_bw.pdf
rel-0061,units/persons/charles-v,units/persons/titian,honourer_of,1533,荣衔授予者,Count Palatine等荣衔；不采捡画笔逸事,book,formal,haskell-1980-rev-ed,lines 799–804; print pp. 19,02-sources/02-Markdown/01_CHP-1.md
rel-0062,units/persons/ciro-ferri,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S9；学院成员段,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/
rel-0063,units/persons/ciro-ferri,units/persons/pietro-da-cortona,trained_by,,学生,Ferri从Cortona学习；具体起止年未在本卡定稿,external,formal,,本卡 S9；师承与合作段,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/
rel-0064,units/persons/ciro-ferri,units/persons/pietro-da-cortona,collaborated_with,,长期助手／合作者,具体项目责任仍逐作区分,external,formal,,本卡 S9；师承与合作段,https://www.treccani.it/enciclopedia/ciro-ferri_(Dizionario-Biografico)/
rel-0065,units/persons/claude-mellan,units/places/abbeville,located_at,1598,出生地点,个人出生事件,external,formal,,Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/392968
rel-0066,units/persons/claude-mellan,units/places/paris,located_at,1688,去世地点,个人死亡事件,external,formal,,Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/392968
rel-0067,units/persons/clement-viii,units/families/aldobrandini-family,member_of,1536–1605,出生于阿尔多布兰迪尼家族的成员,只表示家族归属，不把教皇任期或个人行为归给整个家族,external,formal,,P527；与英文Wikipedia Aldobrandini family成员说明合读,https://www.wikidata.org/wiki/Q961820
rel-0068,units/persons/clement-xi,units/persons/giuseppe-ghezzi,granted_privilege_to,,benefice授予者,圣彼得的一项benefice；不改写为一般任职,book,formal,haskell-1980-rev-ed,lines 771–773; print pp. 19,02-sources/02-Markdown/01_CHP-1.md
rel-0069,units/persons/domenichino,units/procedures/per-figure-pricing,uses_procedure,,,,book,formal,haskell-1980-rev-ed,lines 498–502; print pp. 13,02-sources/02-Markdown/01_CHP-1.md
rel-0070,units/persons/domenico-cerato,units/persons/andrea-memmo,collaborated_with,,广场整治合作者,Prato della Valle整治，不把合作改作出资或个人委托,external,formal,,短条目：生卒括注及1765教学、Memmo合作句,https://www.treccani.it/enciclopedia/domenico-cerato/
rel-0071,units/persons/domenico-cerato,units/places/padua,located_at,1765起,教学活动城市,民用建筑教学,external,formal,,短条目：生卒括注及1765教学、Memmo合作句,https://www.treccani.it/enciclopedia/domenico-cerato/
rel-0072,units/persons/domenico-cerato,units/places/padua,located_at,1792,去世地点,个人死亡事件,external,formal,,短条目：生卒括注及1765教学、Memmo合作句,https://www.treccani.it/enciclopedia/domenico-cerato/
rel-0073,units/persons/domenico-cerato,units/places/pra-della-valle,located_at,,整治活动地点,与Memmo合作整治广场；不等同方案的实际存放地,external,formal,,短条目：生卒括注及1765教学、Memmo合作句,https://www.treccani.it/enciclopedia/domenico-cerato/
rel-0074,units/persons/domenico-fedeli-venice-painter,units/persons/elena-zuliani,spouse_of,,配偶,1738年结婚,external,formal,,lines 24–25,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0075,units/persons/domenico-fedeli-venice-painter,units/persons/giuseppe-giovanni-fedeli,parent_of,,父亲,具名儿子,external,formal,,lines 25–26,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0076,units/persons/domenico-fedeli-venice-painter,units/institutions/venetian-academy-of-painting-and-sculpture,member_of,,成员；后任学院职务,1756入会,external,formal,,lines 27–28,https://www.treccani.it/enciclopedia/fedeli-domenico-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0077,units/persons/domenico-maria-viani,units/persons/giovanni-maria-viani,kin_of,,儿子→父亲,父子关系，非同名合并,external,formal,,Domenico Maria人物段：Il figlio,https://www.treccani.it/enciclopedia/viani/
rel-0078,units/persons/domenico-maria-viani,units/persons/giovanni-maria-viani,trained_by,,绘画师承,传记明确随父学习，亲缘另列,external,formal,,Domenico Maria人物段：allievo del padre,https://www.treccani.it/enciclopedia/viani/
rel-0079,units/persons/domenico-maria-viani,units/places/bologna,located_at,1668,出生,条目明确生卒地点,external,formal,,Domenico Maria生卒括注,https://www.treccani.it/enciclopedia/viani/
rel-0080,units/persons/domenico-maria-viani,units/places/pistoia,located_at,1711,去世,条目明确生卒地点,external,formal,,Domenico Maria生卒括注,https://www.treccani.it/enciclopedia/viani/
rel-0081,units/persons/duke-parma-ghezzi,units/persons/giuseppe-ghezzi,honourer_of,,gentiluomo d’onore荣衔授予者,授予者全名及日期未明,book,formal,haskell-1980-rev-ed,lines 771–773; print pp. 19,02-sources/02-Markdown/01_CHP-1.md
rel-0082,units/persons/ellis-waterhouse,units/institutions/national-gallery-london,employed_by,1929–1933,助理／Assistant,早期馆务任职，1933离任,external,formal,,完整档案集合目录、Administrative history、Related material,https://www.nationalgallery.org.uk/research/research-centre/archive/record/NGA16
rel-0083,units/persons/ernest-cognacq,units/persons/marie-louise-jay,spouse_of,1872结婚,配偶,馆方传记明确结婚；不据艺术收藏关系反推婚姻,external,formal,,A remarkable example of commercial success：1871租约后的次年结婚,https://www.museecognacqjay.paris.fr/en/museum/cognacq-jay-spouses
rel-0084,units/persons/ernest-cognacq,units/places/saint-martin-de-re,located_at,1839-10-02,出生地,人物出生地点，未写成长期活动地,external,formal,,Naissance,https://catalogue.bnf.fr/ark:/12148/cb161688058
rel-0085,units/persons/ernest-cognacq,units/places/paris,located_at,1928-02-21,去世地,巴黎第16区，死亡地点而非所有人生阶段居住地,external,formal,,Mort,https://catalogue.bnf.fr/ark:/12148/cb161688058
rel-0086,units/persons/fabrizio-valguarnera,units/procedures/studio-stock-sale,uses_procedure,,,,book,formal,haskell-1980-rev-ed,lines 591–601; print pp. 15,02-sources/02-Markdown/01_CHP-1.md
rel-0087,units/persons/federigo-zuccari,units/institutions/accademia-di-san-luca,member_of,1593–1594,首任Prince及组织领导者,学院振兴／实际组织阶段；不等同1577年设院授权,book,formal,haskell-1980-rev-ed,lines 681–683; print pp. 17,02-sources/02-Markdown/01_CHP-1.md
rel-0088,units/persons/ferdinando-marescalchi,units/places/bologna,located_at,1754,出生地点,个人生命事件,external,formal,,首句：Bologna 1754,https://www.treccani.it/enciclopedia/marescalchi-ferdinando-conte/
rel-0089,units/persons/ferdinando-marescalchi,units/places/modena,located_at,1816,去世地点,个人生命事件,external,formal,,首句：Modena 1816,https://www.treccani.it/enciclopedia/marescalchi-ferdinando-conte/
rel-0090,units/persons/filippo-hercolani-1736,units/persons/marcantonio-hercolani-1709,child_of,自1736年起（Filippo出生年）,son,父子亲缘；不因父亲于1772年去世而终止,external,formal,,repository abstract: collection formed by Marcantonio Hercolani (1709–1772) and augmented by his son Filippo (1736–1810),https://cris.unibo.it/handle/11585/858533
rel-0091,units/persons/filippo-lauri,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S6；1654年入会段,https://www.treccani.it/enciclopedia/filippo-lauri_(Dizionario-Biografico)/
rel-0092,units/persons/flavio-chigi,units/persons/mario-de-fiori,patron_of,,每月津贴提供者,每月30 scudi；不表示作品全部买断,book,formal,haskell-1980-rev-ed,lines 282–283; print pp. 8,02-sources/02-Markdown/01_CHP-1.md
rel-0093,units/persons/francesco-algarotti,units/persons/carlo-lodoli,trained_by,1725,受教者→教师,DBI明确记为学生；不等同大学学位,external,formal,,"教学段：nel 1725, F. Algarotti",https://www.treccani.it/enciclopedia/carlo-lodoli_(Dizionario-Biografico)/
rel-0094,units/persons/francesco-barberini,units/institutions/accademia-di-san-luca,member_of,,Cardinal Protector,学院保护职位；不与Antonio Barberini家户混同,book,formal,haskell-1980-rev-ed,lines 694–696; print pp. 17,02-sources/02-Markdown/01_CHP-1.md
rel-0095,units/persons/francesco-fanelli,units/places/florence,located_at,1577,出生地点,个人出生事件,external,formal,,策展正文首两段；Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/761114
rel-0096,units/persons/francesco-fanelli,units/places/genoa,located_at,1605–1630,作坊活动城市,家庭作坊,external,formal,,策展正文首两段；Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/761114
rel-0097,units/persons/francesco-fanelli,units/places/london,located_at,1632,迁入城市,赴英国宫廷工作,external,formal,,策展正文首两段；Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/761114
rel-0098,units/persons/francesco-fanelli,units/persons/charles-i,patronized_by,1632,年金赞助者,Met策展传记的年金记载,external,formal,,策展正文首两段；Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/761114
rel-0099,units/persons/francesco-fanelli,units/persons/charles-i,appointed_by,1635,王室雕塑家任命者,个人获任官职，不从作品肖像角色推导,external,formal,,策展正文首两段；Artwork Details：Artist,https://www.metmuseum.org/art/collection/search/761114
rel-0100,units/persons/francesco-fontana,units/persons/galeazzo-fontana,parent_of,,父亲,Francesco Fontana与儿子Galeazzo Fontana,external,formal,,印刷页 67：Il figlio Galeazzo ...,https://iris.unimore.it/retrieve/e31e124d-08e1-987f-e053-3705fe0a095a/FONTANA%20famiglia%20.pdf
rel-0101,units/persons/francesco-guardi,units/places/venice,located_at,1712,出生,出生地,external,formal,,人物年代与传记第2段Francesco Guardi was born in Venice,https://www.nationalgallery.org.uk/artists/francesco-guardi
rel-0102,units/persons/francesco-maggiotto,units/persons/domenico-fedeli-venice-painter,child_of,,儿子,传记记其父为画家Domenico,external,formal,,lines 27–30,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0103,units/persons/francesco-maggiotto,units/persons/elena-zuliani,child_of,,儿子,出生信息,external,formal,,lines 27–30,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0104,units/persons/francesco-maggiotto,units/persons/angela-fedeli,sibling_of,,兄妹,遗嘱记其姐妹,external,formal,,lines 56–57,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0105,units/persons/francesco-maggiotto,units/persons/elena-fedeli-daughter,parent_of,,女儿,遗嘱所载子女,external,formal,,lines 56–57,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0106,units/persons/francesco-maggiotto,units/persons/giovan-battista-fedeli,parent_of,,儿子,遗嘱所载子女,external,formal,,lines 56–57,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0107,units/persons/francesco-maggiotto,units/persons/domenico-fedeli-son-of-francesco,parent_of,,儿子,遗嘱所载子女,external,formal,,lines 56–57,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0108,units/persons/francesco-maggiotto,units/institutions/venetian-academy-of-painting-and-sculpture,member_of,,绘画教师；后任主席,1771起任绘画教师；1790任主席,external,formal,,lines 30–31,https://www.treccani.it/enciclopedia/fedeli-francesco-detto-il-maggiotto_(Dizionario-Biografico)/
rel-0109,units/persons/francesco-petrucci,units/persons/baldassare-franceschini,trained_by,,绘画教师,ICCD的allievo del Volterrano；Volterrano别名沿用已对齐KU,external,formal,,Notizie storico critiche：Petrucci学生身份、宫廷复制画委托段,https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0900378126
rel-0110,units/persons/francesco-petrucci,units/persons/ferdinand-grand-prince-tuscany,patronized_by,,复制画委托赞助者,宫廷复制画委托，不把整组未具名复制画并作一个作品,external,formal,,Notizie storico critiche：Petrucci学生身份、宫廷复制画委托段,https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0900378126
rel-0111,units/persons/francesco-trevisani,units/institutions/accademia-di-san-luca,member_of,,,,external,formal,,本卡 S6；1697年入会段,https://www.treccani.it/enciclopedia/francesco-trevisani_(Dizionario-Biografico)/
rel-0112,units/persons/francesco-trevisani,units/institutions/arcadia,member_of,,,,external,formal,,本卡 S6；1712年入会段,https://www.treccani.it/enciclopedia/francesco-trevisani_(Dizionario-Biografico)/
rel-0113,units/persons/francis-haskell,units/institutions/warburg-institute-library,supported_by,,研究使用、鼓励与建议,第一版序言对图书馆及机构相关人员的集体致谢；不虚构具体顾问,book,formal,haskell-1980-rev-ed,lines 21–22; 章前：第一版序言；印刷页ix；PDF 7,02-sources/02-Markdown/00_03_Preface_1st_Ed.md
